[2024-09-15 12:50:09,624] - INFO - [BOT STARTED]
[2024-09-15 12:51:47,091] - ERROR - [Error fetching turn result: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/turns/66e675eec5166585c4f6e8cd (Retry 1/20)]
[2024-09-15 12:51:47,159] - ERROR - [Error fetching status: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/wallets/balance (Retry 1/20)]
[2024-09-15 12:51:57,470] - ERROR - [Error playing turn: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/play (Retry 1/20)]
[2024-09-15 12:53:34,748] - ERROR - [Error fetching turn result: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/turns/66e67659c5166585c4f71f49 (Retry 1/20)]
[2024-09-15 12:53:45,064] - ERROR - [Error fetching status: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/wallets/balance (Retry 1/20)]
[2024-09-15 12:53:50,275] - ERROR - [Error playing turn: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/play (Retry 1/20)]
[2024-09-15 12:54:56,887] - ERROR - [Error fetching turn result: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/turns/66e676abc5166585c4f74e2f (Retry 1/20)]
[2024-09-15 12:54:56,953] - ERROR - [Error fetching status: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/wallets/balance (Retry 1/20)]
[2024-09-15 12:55:07,255] - ERROR - [Error playing turn: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/play (Retry 1/20)]
[2024-09-15 12:56:08,740] - ERROR - [Error fetching status: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/wallets/balance (Retry 1/20)]
[2024-09-15 12:56:13,859] - ERROR - [Error fetching turn result: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/turns/66e676f8c5166585c4f7792c (Retry 1/20)]
[2024-09-15 12:56:34,438] - ERROR - [Error playing turn: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/play (Retry 1/20)]
[2024-09-15 12:57:35,893] - ERROR - [Error fetching status: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/wallets/balance (Retry 1/20)]
[2024-09-15 12:57:41,008] - ERROR - [Error fetching turn result: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/turns/66e67750c5166585c4f7a910 (Retry 1/20)]
[2024-09-15 12:57:56,462] - ERROR - [Error playing turn: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/play (Retry 1/20)]
[2024-09-15 12:59:03,134] - ERROR - [Error fetching turn result: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/turns/66e677a2c5166585c4f7d54e (Retry 1/20)]
[2024-09-15 12:59:08,342] - ERROR - [Error fetching status: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/wallets/balance (Retry 1/20)]
[2024-09-15 12:59:28,898] - ERROR - [Error playing turn: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/play (Retry 1/20)]
[2024-09-15 13:00:30,314] - ERROR - [Error fetching turn result: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/turns/66e677f9c5166585c4f80210 (Retry 1/20)]
[2024-09-15 13:00:35,522] - ERROR - [Error fetching status: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/wallets/balance (Retry 1/20)]
[2024-09-15 13:01:01,218] - ERROR - [Error playing turn: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/play (Retry 1/20)]
[2024-09-15 13:02:07,943] - ERROR - [Error fetching turn result: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/turns/66e6785ac5166585c4f82f29 (Retry 1/20)]
[2024-09-15 13:02:33,670] - ERROR - [Error fetching status: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/wallets/balance (Retry 1/20)]
[2024-09-15 13:02:54,213] - ERROR - [Error playing turn: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/play (Retry 1/20)]
[2024-09-15 13:04:00,819] - ERROR - [Error fetching turn result: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/turns/66e678cbc5166585c4f86897 (Retry 1/20)]
[2024-09-15 13:04:31,620] - ERROR - [Error fetching status: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/wallets/balance (Retry 1/20)]
[2024-09-15 13:04:36,806] - ERROR - [Error playing turn: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/play (Retry 1/20)]
[2024-09-15 13:05:22,956] - ERROR - [Error fetching turn result: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/turns/66e6791dc5166585c4f89668 (Retry 1/20)]
[2024-09-15 13:05:58,885] - ERROR - [Error fetching status: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/wallets/balance (Retry 1/20)]
[2024-09-15 13:06:04,090] - ERROR - [Error playing turn: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/play (Retry 1/20)]
[2024-09-15 13:07:00,424] - ERROR - [Error fetching turn result: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/turns/66e6797fc5166585c4f8cb49 (Retry 1/20)]
[2024-09-15 13:07:26,100] - ERROR - [Error fetching status: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/wallets/balance (Retry 1/20)]
[2024-09-15 13:07:36,426] - ERROR - [Error playing turn: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/play (Retry 1/20)]
[2024-09-15 13:08:22,588] - ERROR - [Error fetching turn result: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/turns/66e679d1c5166585c4f8f5d3 (Retry 1/20)]
[2024-09-15 13:08:48,262] - ERROR - [Error fetching status: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/wallets/balance (Retry 1/20)]
[2024-09-15 13:08:58,600] - ERROR - [Error playing turn: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/play (Retry 1/20)]
[2024-09-15 13:09:54,926] - ERROR - [Error fetching turn result: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/turns/66e67a2dc5166585c4f924f0 (Retry 1/20)]
[2024-09-15 13:10:15,490] - ERROR - [Error fetching status: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/wallets/balance (Retry 1/20)]
[2024-09-15 13:10:25,820] - ERROR - [Error playing turn: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/play (Retry 1/20)]
[2024-09-15 13:11:47,888] - ERROR - [Error fetching turn result: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/turns/66e67a9ec5166585c4f95c3a (Retry 1/20)]
[2024-09-15 13:12:23,853] - ERROR - [Error fetching status: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/wallets/balance (Retry 1/20)]
[2024-09-15 13:12:44,412] - ERROR - [Error playing turn: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/play (Retry 1/20)]
[2024-09-15 13:13:25,344] - ERROR - [Error fetching turn result: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/turns/66e67b00c5166585c4f98ba3 (Retry 1/20)]
[2024-09-15 13:14:01,277] - ERROR - [Error fetching status: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/wallets/balance (Retry 1/20)]
[2024-09-15 13:14:21,977] - ERROR - [Error playing turn: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/play (Retry 1/20)]
[2024-09-15 13:15:02,897] - ERROR - [Error fetching turn result: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/turns/66e67b61c5166585c4f9b970 (Retry 1/20)]
[2024-09-15 13:15:33,698] - ERROR - [Error fetching status: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/wallets/balance (Retry 1/20)]
[2024-09-15 13:15:49,134] - ERROR - [Error playing turn: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/play (Retry 1/20)]
[2024-09-15 13:16:24,970] - ERROR - [Error fetching turn result: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/turns/66e67bb3c5166585c4f9df53 (Retry 1/20)]
[2024-09-15 13:17:27,276] - ERROR - [Error fetching status: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/wallets/balance (Retry 1/20)]
[2024-09-15 13:18:04,943] - ERROR - [Error playing turn: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/play (Retry 1/20)]
[2024-09-15 13:18:26,248] - ERROR - [Error fetching turn result: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/turns/66e67c2dc5166585c4fa1797 (Retry 1/20)]
[2024-09-15 13:19:35,952] - ERROR - [Error fetching status: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/wallets/balance (Retry 1/20)]
[2024-09-15 13:19:52,180] - ERROR - [Error playing turn: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/play (Retry 1/20)]
[2024-09-15 13:20:24,135] - ERROR - [Error fetching turn result: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/turns/66e67ca3c5166585c4fa4cd9 (Retry 1/20)]
[2024-09-15 13:21:17,789] - ERROR - [Error fetching status: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/wallets/balance (Retry 1/20)]
[2024-09-15 13:21:34,055] - ERROR - [Error playing turn: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/play (Retry 1/20)]
[2024-09-15 13:22:27,415] - ERROR - [Error fetching turn result: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/turns/66e67d1ec5166585c4fa87ab (Retry 1/20)]
[2024-09-15 13:23:15,777] - ERROR - [Error fetching status: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/wallets/balance (Retry 1/20)]
[2024-09-15 13:23:37,378] - ERROR - [Error playing turn: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/play (Retry 1/20)]
[2024-09-15 13:24:09,475] - ERROR - [Error fetching turn result: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/turns/66e67d84c5166585c4fabc07 (Retry 1/20)]
[2024-09-15 13:25:03,313] - ERROR - [Error fetching status: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/wallets/balance (Retry 1/20)]
[2024-09-15 13:25:14,214] - ERROR - [Error playing turn: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/play (Retry 1/20)]
[2024-09-15 13:25:51,530] - ERROR - [Error fetching turn result: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/turns/66e67deac5166585c4faed9b (Retry 1/20)]
[2024-09-15 13:26:50,489] - ERROR - [Error fetching status: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/wallets/balance (Retry 1/20)]
[2024-09-15 13:26:56,053] - ERROR - [Error playing turn: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/play (Retry 1/20)]
[2024-09-15 13:27:22,651] - ERROR - [Error fetching turn result: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/turns/66e67e45c5166585c4fb1fe9 (Retry 1/20)]
[2024-09-15 13:28:21,597] - ERROR - [Error fetching status: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/wallets/balance (Retry 1/20)]
[2024-09-15 13:28:27,153] - ERROR - [Error playing turn: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/play (Retry 1/20)]
[2024-09-15 13:28:53,741] - ERROR - [Error fetching turn result: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/turns/66e67ea0c5166585c4fb4ecb (Retry 1/20)]
[2024-09-15 13:29:52,721] - ERROR - [Error fetching status: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/wallets/balance (Retry 1/20)]
[2024-09-15 13:29:58,285] - ERROR - [Error playing turn: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/play (Retry 1/20)]
[2024-09-15 13:30:19,528] - ERROR - [Error fetching turn result: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/turns/66e67ef6c5166585c4fb78de (Retry 1/20)]
[2024-09-15 13:32:01,410] - ERROR - [Error playing turn: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/play (Retry 1/20)]
[2024-09-15 13:32:06,749] - ERROR - [Error fetching status: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/wallets/balance (Retry 1/20)]
[2024-09-15 13:32:12,096] - ERROR - [Error fetching turn result: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/turns/66e67f67c5166585c4fbb0d5 (Retry 1/20)]
[2024-09-15 13:33:59,593] - ERROR - [Error playing turn: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/play (Retry 1/20)]
[2024-09-15 13:34:04,934] - ERROR - [Error fetching status: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/wallets/balance (Retry 1/20)]
[2024-09-15 13:34:10,294] - ERROR - [Error fetching turn result: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/turns/66e67fddc5166585c4fbea92 (Retry 1/20)]
[2024-09-15 13:35:25,502] - ERROR - [Error playing turn: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/play (Retry 1/20)]
[2024-09-15 13:35:41,597] - ERROR - [Error fetching status: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/wallets/balance (Retry 1/20)]
[2024-09-15 13:35:46,928] - ERROR - [Error fetching turn result: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/turns/66e6803dc5166585c4fc1ee3 (Retry 1/20)]
[2024-09-15 13:37:07,613] - ERROR - [Error playing turn: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/play (Retry 1/20)]
[2024-09-15 13:37:18,217] - ERROR - [Error fetching turn result: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/turns/66e68099c5166585c4fc4f5a (Retry 1/20)]
[2024-09-15 13:37:18,478] - ERROR - [Error fetching status: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/wallets/balance (Retry 1/20)]
[2024-09-15 13:38:28,232] - ERROR - [Error playing turn: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/play (Retry 1/20)]
[2024-09-15 13:38:38,922] - ERROR - [Error fetching status: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/wallets/balance (Retry 1/20)]
[2024-09-15 13:38:44,261] - ERROR - [Error fetching turn result: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/turns/66e680efc5166585c4fc7d0b (Retry 1/20)]
[2024-09-15 13:40:04,779] - ERROR - [Error playing turn: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/play (Retry 1/20)]
[2024-09-15 13:40:20,816] - ERROR - [Error fetching status: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/wallets/balance (Retry 1/20)]
[2024-09-15 13:40:26,150] - ERROR - [Error fetching turn result: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/turns/66e68155c5166585c4fcb1cf (Retry 1/20)]
[2024-09-15 13:41:41,384] - ERROR - [Error playing turn: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/play (Retry 1/20)]
[2024-09-15 13:41:57,478] - ERROR - [Error fetching status: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/wallets/balance (Retry 1/20)]
[2024-09-15 13:42:08,136] - ERROR - [Error fetching turn result: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/turns/66e681bbc5166585c4fce6a6 (Retry 1/20)]
[2024-09-15 13:43:23,347] - ERROR - [Error playing turn: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/play (Retry 1/20)]
[2024-09-15 13:43:28,685] - ERROR - [Error fetching status: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/wallets/balance (Retry 1/20)]
[2024-09-15 13:43:34,038] - ERROR - [Error fetching turn result: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/turns/66e68210c5166585c4fd1370 (Retry 1/20)]
[2024-09-15 13:45:15,672] - ERROR - [Error fetching turn result: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/turns/66e68276c5166585c4fd4604 (Retry 1/20)]
[2024-09-15 13:45:26,565] - ERROR - [Error fetching status: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/wallets/balance (Retry 1/20)]
[2024-09-15 13:45:37,753] - ERROR - [Error playing turn: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/play (Retry 1/20)]
[2024-09-15 13:47:35,238] - ERROR - [Error fetching turn result: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/turns/66e68302c5166585c4fd88e9 (Retry 1/20)]
[2024-09-15 13:47:56,849] - ERROR - [Error fetching status: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/wallets/balance (Retry 1/20)]
[2024-09-15 13:47:57,071] - ERROR - [Error playing turn: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/play (Retry 1/20)]
[2024-09-15 13:50:10,651] - ERROR - [Error fetching turn result: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/turns/66e6839dc5166585c4fdd0f2 (Retry 1/20)]
[2024-09-15 13:50:21,559] - ERROR - [Error fetching status: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/wallets/balance (Retry 1/20)]
[2024-09-15 13:50:21,767] - ERROR - [Error playing turn: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/play (Retry 1/20)]
[2024-09-15 13:51:47,161] - ERROR - [Error fetching status: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/wallets/balance (Retry 1/20)]
[2024-09-15 13:51:52,493] - ERROR - [Error fetching turn result: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/turns/66e68403c5166585c4fe01ee (Retry 1/20)]
[2024-09-15 13:51:52,816] - ERROR - [Error playing turn: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/play (Retry 1/20)]
[2024-09-15 13:53:28,876] - ERROR - [Error fetching turn result: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/turns/66e68463c5166585c4fe3968 (Retry 1/20)]
[2024-09-15 13:53:29,084] - ERROR - [Error fetching status: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/wallets/balance (Retry 1/20)]
[2024-09-15 13:53:29,297] - ERROR - [Error playing turn: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/play (Retry 1/20)]
[2024-09-15 13:55:05,308] - ERROR - [Error fetching turn result: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/turns/66e684c4c5166585c4fe739f (Retry 1/20)]
[2024-09-15 13:55:10,848] - ERROR - [Error fetching status: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/wallets/balance (Retry 1/20)]
[2024-09-15 13:55:11,060] - ERROR - [Error playing turn: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/play (Retry 1/20)]
[2024-09-15 13:56:36,286] - ERROR - [Error fetching turn result: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/turns/66e6851fc5166585c4fea8c4 (Retry 1/20)]
[2024-09-15 13:56:36,492] - ERROR - [Error fetching status: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/wallets/balance (Retry 1/20)]
[2024-09-15 13:56:36,719] - ERROR - [Error playing turn: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/play (Retry 1/20)]
[2024-09-15 13:58:02,108] - ERROR - [Error fetching status: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/wallets/balance (Retry 1/20)]
[2024-09-15 13:58:07,438] - ERROR - [Error fetching turn result: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/turns/66e6857ac5166585c4fee08d (Retry 1/20)]
[2024-09-15 13:58:13,067] - ERROR - [Error playing turn: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/play (Retry 1/20)]
[2024-09-15 13:59:27,865] - ERROR - [Error fetching status: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/wallets/balance (Retry 1/20)]
[2024-09-15 13:59:33,188] - ERROR - [Error fetching turn result: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/turns/66e685d0c5166585c4ff1443 (Retry 1/20)]
[2024-09-15 13:59:38,818] - ERROR - [Error playing turn: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/play (Retry 1/20)]
[2024-09-15 14:00:59,108] - ERROR - [Error fetching status: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/wallets/balance (Retry 1/20)]
[2024-09-15 14:01:04,436] - ERROR - [Error fetching turn result: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/turns/66e6862bc5166585c4ff48ec (Retry 1/20)]
[2024-09-15 14:01:10,097] - ERROR - [Error playing turn: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/play (Retry 1/20)]
[2024-09-15 14:02:40,767] - ERROR - [Error fetching status: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/wallets/balance (Retry 1/20)]
[2024-09-15 14:02:46,103] - ERROR - [Error fetching turn result: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/turns/66e68691c5166585c4ff817d (Retry 1/20)]
[2024-09-15 14:03:07,800] - ERROR - [Error playing turn: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/play (Retry 1/20)]
[2024-09-15 14:04:06,478] - ERROR - [Error fetching status: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/wallets/balance (Retry 1/20)]
[2024-09-15 14:04:27,791] - ERROR - [Error fetching turn result: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/turns/66e686f6c5166585c4ffbadd (Retry 1/20)]
[2024-09-15 14:04:38,761] - ERROR - [Error playing turn: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/play (Retry 1/20)]
[2024-09-15 14:05:37,703] - ERROR - [Error fetching status: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/wallets/balance (Retry 1/20)]
[2024-09-15 14:05:53,675] - ERROR - [Error fetching turn result: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/turns/66e6874cc5166585c4ffe971 (Retry 1/20)]
[2024-09-15 14:06:10,052] - ERROR - [Error playing turn: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/play (Retry 1/20)]
[2024-09-15 14:07:08,788] - ERROR - [Error fetching status: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/wallets/balance (Retry 1/20)]
[2024-09-15 14:07:19,491] - ERROR - [Error fetching turn result: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/turns/66e687a2c5166585c4001b2d (Retry 1/20)]
[2024-09-15 14:07:35,832] - ERROR - [Error playing turn: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/play (Retry 1/20)]
[2024-09-15 14:08:34,569] - ERROR - [Error fetching status: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/wallets/balance (Retry 1/20)]
[2024-09-15 14:08:45,247] - ERROR - [Error fetching turn result: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/turns/66e687f8c5166585c4004e4f (Retry 1/20)]
[2024-09-15 14:09:06,965] - ERROR - [Error playing turn: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/play (Retry 1/20)]
[2024-09-15 14:10:05,698] - ERROR - [Error fetching status: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/wallets/balance (Retry 1/20)]
[2024-09-15 14:10:11,019] - ERROR - [Error fetching turn result: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/turns/66e6884dc5166585c400832f (Retry 1/20)]
[2024-09-15 14:10:32,705] - ERROR - [Error playing turn: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/play (Retry 1/20)]
[2024-09-15 14:12:24,694] - ERROR - [Error fetching turn result: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/turns/66e688d3c5166585c400d435 (Retry 1/20)]
[2024-09-15 14:12:24,906] - ERROR - [Error fetching status: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/wallets/balance (Retry 1/20)]
[2024-09-15 14:12:46,409] - ERROR - [Error playing turn: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/play (Retry 1/20)]
[2024-09-15 14:14:00,943] - ERROR - [Error fetching turn result: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/turns/66e68933c5166585c4010a81 (Retry 1/20)]
[2024-09-15 14:14:11,223] - ERROR - [Error fetching status: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/wallets/balance (Retry 1/20)]
[2024-09-15 14:14:41,979] - ERROR - [Error playing turn: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/play (Retry 1/20)]
[2024-09-15 14:15:22,825] - ERROR - [Error fetching turn result: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/turns/66e68985c5166585c40139c1 (Retry 1/20)]
[2024-09-15 14:15:33,105] - ERROR - [Error fetching status: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/wallets/balance (Retry 1/20)]
[2024-09-15 14:16:03,884] - ERROR - [Error playing turn: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/play (Retry 1/20)]
[2024-09-15 14:16:55,021] - ERROR - [Error fetching turn result: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/game/turns/66e689e2c5166585c4017158 (Retry 1/20)]
[2024-09-15 14:17:05,317] - ERROR - [Error fetching status: 429 Client Error: Too Many Requests for url: https://hopium.dev/api/wallets/balance (Retry 1/20)]
